tm,DVm,PVm
1.570000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.580000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.590000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.600000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.610000000000000000e+02,1.000000000000000000e+00,1.787499999999999645e-01
1.620000000000000000e+02,1.000000000000000000e+00,1.787499999999999645e-01
1.630000000000000000e+02,1.000000000000000000e+00,1.820000000000002172e-01
1.640000000000000000e+02,1.000000000000000000e+00,1.820000000000002172e-01
1.650000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01
1.660000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.670000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.680000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.690000000000000000e+02,1.000000000000000000e+00,1.910000000000001974e-01
1.700000000000000000e+02,1.000000000000000000e+00,1.917500000000002258e-01
1.710000000000000000e+02,1.000000000000000000e+00,1.932499999999999218e-01
1.720000000000000000e+02,1.000000000000000000e+00,1.932499999999999218e-01
1.730000000000000000e+02,1.000000000000000000e+00,1.957500000000001461e-01
1.740000000000000000e+02,1.000000000000000000e+00,1.997500000000000386e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.014999999999998737e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.014999999999998737e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.014999999999998737e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.014999999999998737e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.047500000000001263e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.037499999999999589e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.087500000000000466e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.095000000000000751e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.095000000000000751e-01
1.840000000000000000e+02,1.000000000000000000e+00,2.095000000000000751e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.119999999999995777e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.160000000000001918e-01
1.880000000000000000e+02,1.000000000000000000e+00,2.174999999999995270e-01
1.890000000000000000e+02,1.000000000000000000e+00,2.174999999999995270e-01
1.900000000000000000e+02,1.000000000000000000e+00,2.174999999999995270e-01
1.910000000000000000e+02,1.000000000000000000e+00,2.174999999999995270e-01
1.920000000000000000e+02,1.000000000000000000e+00,2.174999999999995270e-01
1.930000000000000000e+02,1.000000000000000000e+00,2.174999999999995270e-01
